,PLAYER,POS,FPTS,VOR,VALUE_RANK
163,Nick Foles,QB,124.9,-149.6,442.0
165,Mitch Trubisky,QB,124.5,-150.0,443.0
366,Isaiah McKenzie,WR,31.8,-150.1,444.0
166,Ryan Fitzpatrick,QB,124.2,-150.3,445.0
463,Alec Ingold,RB,16.1,-150.8,446.0
368,Mack Hollins,WR,31.0,-150.9,447.0
466,Tyler Ervin,RB,15.6,-151.3,448.0
376,Bennie Fowler III,WR,30.200000000000006,-151.7,449.0
470,D'Ernest Johnson,RB,15.1,-151.8,450.0
378,DaeSean Hamilton,WR,29.4,-152.5,451.5
474,Jeremy McNichols,RB,14.4,-152.5,451.5
380,James Proche,WR,29.1,-152.8,453.0
478,Qadree Ollison,RB,14.0,-152.9,454.0
480,Elijhaa Penny,RB,13.8,-153.1,455.0
481,Theo Riddick,RB,13.5,-153.4,456.0
485,Alex Armah,RB,13.3,-153.6,457.5
382,Zay Jones,WR,28.3,-153.6,457.5
487,Patrick Ricard,RB,13.2,-153.70000000000002,459.0
488,Trayveon Williams,RB,13.1,-153.8,460.0
490,Buddy Howell,RB,12.6,-154.3,461.0
491,Keith Smith,RB,12.1,-154.8,462.0
493,Wayne Gallman,RB,12.0,-154.9,463.0
495,Khari Blasingame,RB,11.8,-155.1,464.0
498,Wendell Smallwood,RB,11.4,-155.5,465.0
500,Jordan Wilkins,RB,11.3,-155.6,466.5
392,Tyler Johnson,WR,26.3,-155.6,466.5
393,Ryan Switzer,WR,26.200000000000006,-155.7,468.0
502,Bobby Holly,RB,11.2,-155.70000000000002,469.0
405,Keke Coutee,WR,25.3,-156.6,470.0
519,James Robinson,RB,10.2,-156.70000000000002,471.0
407,Victor Bolden Jr.,WR,25.0,-156.9,472.0
409,Quez Watkins,WR,24.700000000000006,-157.2,473.0
531,Derek Watt,RB,9.6,-157.3,474.0
413,KeeSean Johnson,WR,24.3,-157.6,475.5
534,Tony Jones Jr.,RB,9.3,-157.6,475.5
415,Taywan Taylor,WR,24.1,-157.8,477.5
536,Patrick DiMarco,RB,9.1,-157.8,477.5
538,Anthony Sherman,RB,9.0,-157.9,479.0
542,Kerrith Whyte Jr.,RB,8.9,-158.0,480.0
416,Christian Blake,WR,23.4,-158.5,481.0
549,Peyton Barber,RB,8.3,-158.6,482.0
417,Seth Roberts,WR,23.200000000000006,-158.7,483.0
550,Andrew Beck,RB,8.2,-158.70000000000002,484.0
552,Nick Bellore,RB,8.1,-158.8,485.0
418,Richie James,WR,22.6,-159.3,486.0
420,Pharoh Cooper,WR,22.5,-159.4,487.5
419,Jalen Guyton,WR,22.5,-159.4,487.5
560,Jonathan Williams,RB,6.9,-160.0,489.0
426,Noah Brown,WR,21.700000000000006,-160.2,490.0
562,Taiwan Jones,RB,6.699999999999998,-160.20000000000002,491.0
428,Andre Roberts,WR,21.3,-160.6,492.0
